bn_words_of_interest,frequency_count
য়,81381
হয়,15404
হয়ে,10004
ওয়া,6351
হয়েছ,6209
হয়েছে,4952
দিয়ে,3746
যায়,3497
দায়,3112
নিশ্চয়,3022
আয়,2704
ভয়,2506
নয়,2504
আয়াত,2466
নিয়ে,2382
হয়েছে।,2300
দিয়েছ,2135
রয়ে,2122
রয়েছ,2074
রয়েছে,2024
দেয়,1784
দেওয়া,1721
বিষয়,1695
হয়।,1614
হওয়া,1450
সম্প্রদায়,1399
সময়,1324
হয়েছি,1182
দিয়েছি,1106
"হয়,",1096
হয়েছিল,1080
বিষয়ে,1071
নয়।,1044
কিয়াম,1030
ইয়া,1030
দেয়া,1012
দিয়েছে,988
আয়াতে,985
দয়া,969
হওয়ার,942
"হয়েছে,",904
নিশ্চয়ই,888
রায়,882
কিয়ামত,852
উভয়,837
দিয়েছেন,814
দুনিয়া,759
ন্যায়,758
অবস্থায়,679
যায়।,677
ফিরিয়ে,673
দিয়েছিল,616
ভয়ে,612
দ্বিতীয়,591
দায়ক,587
পায়,585
গিয়ে,566
চেয়ে,558
হিদায়াত,558
দায়ে,547
নিয়েছ,539
রয়েছে।,527
শয়তান,520
কিয়ামতে,512
সম্প্রদায়ে,511
সম্প্রদায়ের,509
নেয়,507
জয়,505
কিয়ামতের,487
স্থায়ী,483
যাওয়া,465
দয়ালু,447
ইয়াহুদ,433
"নয়,",427
ব্যয়,425
ইয়াহুদী,420
নেওয়া,418
উভয়ে,412
"যায়,",410
হয়েছিল।,400
প্রয়োজন,393
বানিয়ে,388
স্বীয়,383
দয়ালু।,369
আয়াতসমূহ,369
দিয়েছিলাম,368
চায়,353
বিজয়,344
অন্যায়,343
অনুযায়ী,339
আশ্রয়,328
পাঠিয়ে,324
অধ্যায়,321
ফায়,313
দায়িত্ব,312
পাওয়া,309
হয়নি,306
নিয়েছে,303
হৃদয়,302
আয়াতের,295
হায়,294
সময়ে,294
দেওয়ার,292
দিয়েছেন।,291
দুনিয়ার,287
আদায়,285
পুনরায়,281
প্রজ্ঞাময়,279
ফায়সালা,276
আয়াত),268
সম্প্রদায়কে,262
পেয়ে,254
গিয়েছ,252
হয়েছে।তাফসীরে,250
নিয়ামত,241
দুনিয়াতে,237
ভয়ের,236
আত্মীয়,231
জায়গা,228
যাওয়ার,227
পরায়ণ,220
দেয়।,217
বিনিময়,217
হয়ো,216
দাওয়াত,214
যাবতীয়,211
"রয়েছে,",209
প্রজ্ঞাময়।,209
গিয়েছিল,204
যায়),204
নিয়েছি,202
নয়;,200
কয়,200
তাকওয়া,199
শরীয়ত,197
বিষয়ের,196
পাঠিয়েছি,196
নিয়ম,190
জয়ী,188
তৃতীয়,187
"দেয়,",186
কয়েক,184
এখতিয়ার,183
অধ্যায়),178
ওয়াদ,177
নয়ন,176
উভয়ের,176
বিয়ে,171
ওয়াদা,171
জানিয়ে,170
কায়েম,169
শয়তানের,167
"হয়েছিল,",167
খাওয়া,165
"দিয়েছেন,",164
নিয়েছেন,163
দয়াময়,160
খেয়াল,158
দিয়েছিলে,154
ইয়াহুদীদের,154
চিরস্থায়ী,153
নেয়।,153
ছায়া,153
কিয়ামাত,152
যন্ত্রণাদায়ক,151
‘নিশ্চয়,150
আনয়ন,149
হয়েছে;,148
নিয়েছিল,147
য়্যাম,147
উপায়,145
বিজয়ী,144
সম্প্রদায়!,141
হয়নি।,138
ওয়াজ,138
নেওয়ার,137
পয়গম্বর,136
তুলনায়,136
দেখিয়ে,136
বিনিময়ে,135
হাওয়া,135
দিয়েছিলেন,129
ফয়সালা,129
বানিয়েছ,128
বিপর্যয়,125
দেয়ার,125
করিয়ে,125
নেয়া,124
বয়স,124
কোথায়,124
পেয়েছ,123
হিদায়াতে,122
দিয়েছি।,122
পাঠিয়েছিল,122
ওয়াল,121
পাওয়ার,120
হিদায়াতের,120
প্রিয়,119
সময়ের,119
দাঁড়িয়ে,118
মারইয়াম,118
হয়।তাফসীরে,118
ক্রয়,115
পর্যায়,115
ন্যায়ভাবে,114
করুণাময়,114
ক্রিয়া,112
দ্বিতীয়ত,111
ভাষায়,111
কর্মপরায়ণ,111
সবচেয়ে,110
জায়গায়,110
শরীয়তে,110
পাঠিয়েছিলাম,110
"দিয়েছি,",109
মারয়্যাম,108
পায়ে,108
অতিশয়,108
ভয়াবহ,107
দ্বিতীয়তঃ,107
বিনয়,106
হয়;,106
সওয়া,104
অন্যায়ভাবে,104
হয়ত,104
কথায়,103
খায়,102
খেয়ে,101
মায়ের,100
রাস্তায়,99
মেয়ে,98
বিষয়টি,98
সম্প্রদায়।,98
আয়াতসমূহকে,97
"অধ্যায়,",96
সহায়,95
সৎকর্মপরায়ণ,95
বুঝিয়ে,95
প্রায়,93
হয়েছে।[2],93
বায়ু,93
"নেয়,",91
"চায়,",90
বাড়িয়ে,90
হৃদয়ে,89
নয়।তাফসীরে,87
পায়।,87
ময়দান,86
আম্বিয়া,86
বর্ণনায়,86
দুনিয়ায়,84
ওয়ালা,84
আয়াতগুলো,84
ইয়াতীম,84
হয়তো,84
সন্ধ্যায়,84
গায়ে,83
চেয়েছ,83
সাহাবায়ে,82
ছড়িয়ে,82
নিয়ো,81
আয়েশ,80
ইয়াহুদীর,79
ভয়ই,79
আওয়াজ,78
আশ্রয়স্থল,78
হয়েছে?,78
সর্ববিষয়ে,78
ইয়াকূব,77
বানিয়েছে,77
বেরিয়ে,77
আত্মীয়-,77
বিস্ময়,76
আয়াতসমূহে,76
দেওয়া।,76
উভয়ই,75
ওয়াহী,75
হায়!,75
ভয়কে,75
আয়াত)তাফসীরে,74
দিয়েছিলাম।,74
‘হায়,74
চায়।,74
পলায়ন,73
ইয়াহুদীরা,73
পেয়েছি,73
গায়েব,73
আত্মীয়-স্বজন,73
উভয়কে,72
শয়ত্বান,72
"দিয়েছিলাম,",72
পানীয়,72
ডুবিয়ে,71
আত্মীয়তা,71
শরীয়তের,71
বেলায়,70
প্রতীয়মান,70
পছন্দনীয়,70
ইচ্ছায়,69
লাগিয়ে,69
নিয়োজিত,69
বরকতময়,68
বিধায়,68
দিয়েছে।,68
বুঝিয়েছেন,68
আয়েশা,68
আখ্যায়িত,67
যায়।তাফসীরে,67
ক্বিয়ামত,67
ময়দানে,67
সরিয়ে,66
নিয়েছেন।,66
ভাইয়ের,66
দাঁড়ায়,66
হওয়া।,65
নিয়ামতের,65
স্বয়ং,65
পর্যায়ে,65
অসিয়ত,65
মর্যাদায়,64
প্রয়োজনীয়,64
গিয়েছিল।,63
চাওয়া,63
