bn_words_of_interest,frequency_count
য়,102621
ওয়া,29507
হয়,8486
হয়ে,5611
দায়,4559
আয়,3960
দিয়ে,3653
আদায়,3460
নিয়ে,2958
সময়,2922
রায়,2838
হয়েছ,2638
দেয়,2611
আয়িশা,2559
যায়,2532
ইয়া,2420
‘আয়িশা,2038
দেয়া,2012
ওয়াসাল্লাম,1949
হয়েছে,1932
ওয়ার,1600
হুরায়র,1552
হুরায়রা,1551
গিয়ে,1496
ওয়াসাল্লাম),1489
বায়,1386
দিয়েছ,1303
ভয়,1249
চেয়ে,1239
অবস্থায়,1220
আয়িশাহ,1183
রয়ে,1124
আয়াত,1079
হয়েছে।,1036
বিষয়,1028
রয়েছ,989
রয়েছে,971
উভয়,887
‘আয়িশাহ,864
হয়।,826
দিয়েছে,789
হওয়া,759
দাঁড়িয়ে,733
হয়েছি,684
নয়,668
আয়িশাহ্,624
দিয়েছেন,615
পায়,577
হয়েছিল,570
বিষয়ে,570
হায়,553
যায়দ,548
ওয়াল,543
ভয়ে,533
বর্ণনায়,521
দিয়েছি,467
উভয়ে,456
‘আয়িশাহ্,455
যুবায়র,444
কিয়াম,443
হুরায়রাহ,442
ওয়াক,440
যায়।,436
নিশ্চয়,435
ন্যায়,428
পেয়ে,427
নেয়,416
ওয়াসাল্লাম)-,411
বিনিময়,410
"হয়,",408
সওয়ার,402
যাওয়া,390
নিয়া,387
হওয়ার,385
সময়ে,384
ক্রয়,384
তায়,380
দেয়ার,379
রয়েছে।,372
হুরায়রাহ্,369
দায়ে,369
জয়,365
বেরিয়ে,364
ইয়াহূদ,361
নিয়েছ,356
ফিরিয়ে,356
ইয়াহূদী,347
বিনিময়ে,345
দিয়েছেন।,337
সায়,337
সিয়াম,332
দায়ের,332
নিশ্চয়ই,331
উরওয়া,326
আশ্রয়,324
রিওয়ায়াত,319
দিয়েছিল,316
সম্প্রদায়,314
ক্বিয়াম,313
পুনরায়,313
কয়,312
দুনিয়া,308
আয়িশাহ্‌,307
নয়।,303
তৃতীয়,301
ওয়াসাল্লাম)-এর,291
প্রয়োজন,290
বিয়ে,290
উরওয়াহ,287
‘উরওয়া,287
পাঠিয়ে,286
বিজয়,284
পায়ে,282
জায়গা,280
কয়েক,269
হয়নি,269
সবচেয়,266
সবচেয়ে,265
কিয়ামাত,262
ফায়,262
তিলাওয়াত,261
গিয়েছি,258
দেয়।,255
‘উরওয়াহ,254
ওয়াজ,253
আয়াতটি,253
হয়েছিল।,251
খায়,247
মারওয়া,245
দায়িত্ব,244
ওয়াদ,242
খাওয়া,241
বয়স,239
নেয়া,239
তাওয়াফ,235
কুরায়,234
মেয়ে,234
ক্বিয়ামাত,231
ওয়াহী,230
গিয়েছিল,223
ওয়ালা,223
প্রিয়,220
যাওয়ার,215
উঠিয়ে,214
চায়,212
"হয়েছে,",211
‘আয়িশাহ্‌,211
নিয়েছে,209
দ্বিতীয়,209
পেয়েছ,207
সওয়ারী,206
ইয়ামান,205
দিয়েছিলে,204
পায়ের,202
বিক্রয়,201
ইয়ায,200
সাওয়াব,199
কোথায়,199
খেয়ে,197
বায়ত,197
রিয়া,196
বিষয়টি,195
দিয়েছিলেন,195
করিয়ে,193
জানিয়ে,193
এগিয়ে,191
কায়স,190
হয়নি।,188
বায়তুল,183
রওয়ানা,179
ইয়াযীদ,177
পাওয়া,171
আদায়ে,169
ভয়ের,169
ঘুমিয়ে,168
গায়ে,168
সম্প্রদায়ে,168
সম্প্রদায়ের,165
মক্কায়,163
সুলায়ম,163
আত্মীয়,159
ক্বিয়ামাতে,158
পাঠিয়েছ,156
বায়তুল্লাহ,155
হয়ত,155
ক্বিয়ামাতের,154
ভাইয়ের,152
শয়তান,152
উভয়ের,150
দয়া,149
আদায়ের,148
স্বীয়,147
কিয়ামাতে,147
নিয়েছেন,146
মদীনায়,145
হুরায়রা্,145
কিয়ামাতের,145
সুফ্ইয়া,144
আওয়াজ,144
য়াহ্ইয়া,144
সুফ্ইয়ান,143
ইয়াহ্ইয়া,143
ওয়াক্ত,143
"রয়েছে,",141
ছায়া,138
"যায়,",138
মাদীনায়,137
চেয়েও,137
কিয়ামত,136
বিদায়,136
ওয়ালী,135
ইয়াহ্‌ইয়া,135
জায়গায়,135
নিয়েছি,131
ধুয়ে,131
'আয়িশা,130
জয়ের,130
কতিপয়,130
রাস্তায়,129
মু’আবিয়া,129
সাওয়ার,128
ব্যয়,128
শুয়ে,128
চেয়েছ,128
মাথায়,128
এমতাবস্থায়,128
ত্বওয়াফ,127
আসওয়াদ,127
উবায়দ,127
হুমায়দ,126
হুরায়রাহ্‌,126
তৃতীয়াংশ,125
লায়স,125
বিজয়ে,123
আয়াতে,123
সুফ্‌ইয়ান,122
তুলনায়,121
বিজয়ের,121
ওয়াসাল্লাম-এর,121
প্রায়,120
পেয়েছি,120
দিয়েছিলেন।,120
কুরায়শ,120
বানিয়ে,119
হয়েছে?,116
সরিয়ে,115
নিয়ার,113
ফায়সালা,113
জুরায়জ,112
সময়ের,112
তাকিয়ে,112
সিরিয়া,110
দিয়া,110
যুহায়র,110
মাক্কায়,110
কয়েকজন,110
বয়ে,109
বায়’আত,109
সুফিয়া,108
সুফিয়ান,107
সওয়াব,107
অনুযায়ী,107
মারওয়ান,107
তালবিয়া,106
লাগিয়ে,105
খায়বার,105
ইয়াস,105
উরওয়াহ্,104
হিদায়া,104
আইয়ূব,103
‘উবায়দ,102
নেয়।,102
হিদায়াত,102
হুসায়ন,102
জড়িয়ে,100
মু’আবিয়াহ,100
কুরায়ব,99
নেয়ার,98
যায়নাব,98
বসিয়ে,98
ক্রয়-বিক্রয়,98
নুমায়র,97
সাওয়ারী,96
নিয়ম,96
বয়সে,96
এলাকায়,96
ওয়াসাল্লাম)-কে,96
দিয়েছি।,96
আয়েশ,95
‘উরওয়াহ্,94
ওয়ায,94
দুনিয়ার,93
ছয়,93
ওয়াক্কাস,92
আয়েশা,92
পছন্দনীয়,91
চেয়েছি,91
বাড়িয়ে,91
মায়ের,90
"দেয়,",90
দিয়েছে।,90
ভয়েই,89
হাওয়া,88
আয়াতের,88
উমাইয়া,88
কোথায়?,88
ইয়াতীম,88
হাদিয়া,87
উভয়েই,87
পর্যায়,86
ওয়ালীদ,85
পাঠিয়েছেন,85
কয়েকটি,85
কিয়ামতের,83
ওয়াজিব,82
‘আয়েশা,80
হৃদয়,80
খাওয়ার,80
দেয়াল,80
ওয়াদা,80
পেয়ালা,80
মিসওয়ার,80
হয়েছেন,79
সাফা-মারওয়া,78
জয়ী,78
'আয়িশাহ,78
শায়বা,77
নিয়েছিল,77
ইয়ামানে,77
গিয়েছে,76
সুহায়ল,76
বয়স্ক,76
হারিয়ে,76
বিছানায়,75
আত্মীয়তা,75
জানিয়েছে,74
গিয়েছিল।,74
‘ওয়া,74
"দিয়েছেন,",74
প্রয়োজনে,73
বেলায়,72
হুদাইবিয়া,72
মু‘আবিয়া,72
"নয়,",72
ইয়াহূদীর,71
দেখিয়ে,71
ছড়িয়ে,70
মারওয়ার,70
বিষয়ের,70
দেওয়া,70
চেয়েছিল,70
সময়),70
উবায়দুল্লাহ,69
পালিয়ে,69
মু’আবিয়াহ্,68
পর্যায়ে,67
জাতীয়,67
মারইয়াম,67
দরজায়,67
অন্যায়,67
ময়দা,66
জানিয়েছেন,66
রিওয়ায়াতে,66
জ্বালিয়ে,65
চাওয়া,65
স্থায়ী,65
গিয়েছিলে,65
তৃতীয়বার,65
জুবায়র,64
ইয়াসার,64
"হয়েছিল,",64
শুনিয়ে,64
মিনায়,64
ইয়াহূদীদের,64
দাওয়া,63
সুফইয়ান,63
পাওয়ার,63
গিয়েছিলেন,62
করিয়েছ,62
আকওয়া,62
ওয়াকী,61
গলায়,61
তলোয়ার,60
নিয়োগ,60
উমাইয়াহ,60
"চায়,",60
পাঠিয়েছি,60
উপত্যকায়,59
ময়দান,59
দা’ওয়াত,59
হাঁকিয়ে,59
পেয়েছে,59
[‘আয়িশা,58
ক্বায়স,58
ঝুলিয়ে,57
মু‘আবিয়াহ,57
আদায়কারী,57
নিয়্যাত,57
মদিনায়,57
করায়,56
দাওয়াত,56
মুসাইয়্যাব,56
আত্মীয়তার,56
পলায়ন,56
ইয়াদ,55
যাবতীয়,55
সওয়ারীর,55
হয়েছিলেন,55
বিক্রয়ে,55
ইয়াহুদ,55
‘উবায়দুল্লাহ,54
হয়েছি।,54
তথায়,54
উয়াইনা,54
সংখ্যায়,54
চেহারায়,53
উসায়দ,53
দ্বয়ের,53
খায়বারে,53
পেয়েছি।,53
দুনিয়াতে,53
সাফিয়্যা,52
কায়িম,52
ন্যায়।,52
রয়েছেন,51
শয়তানের,51
সফিয়্যা,51
ইয়াহুদী,51
উড়িয়ে,51
আইয়ুব,51
ময়দানে,51
তালবিয়াহ,51
উভয়কে,50
নিয়েছিলে,50
সুলায়মান,50
হয়।এখনো,50
সাইয়্যাদ,49
পানীয়,49
পরিয়ে,49
সন্ধ্যায়,49
(ইয়া,48
সাফা-মারওয়ার,48
ছায়ায়,48
উয়াইনাহ,48
অপেক্ষায়,48
পায়।,48
আতিয়্যা,48
দেয়নি,47
পৌঁছিয়ে,47
নিয়েছেন।,47
ঢুকিয়ে,47
পরিচয়,47
অন্যথায়,47
ইয়ামানী,47
মেয়েদের,47
রাওয়া,47
ইয়াহইয়া,47
নয়?,46
চায়।,46
সাজদায়,46
শায়বাহ,46
বিজয়ী,46
পায়খানা,46
সওয়ারীতে,46
ওয়ায়িল,46
দিয়েছিল।,46
গিয়েছিলাম,46
হয়েছে।এখনো,46
ইয়াহূদীরা,46
জানোয়ার,46
হায়য,45
ওয়ারিস,45
তালবিয়াহ্,45
নিয়েছিলেন,45
অবস্থায়ই,45
সূর্যোদয়,45
হয়তো,45
মুয়ায,45
মালায়িকা,45
ভাষায়,44
সিজদায়,44
হয়?,43
হাওয়াযিন,43
শিখিয়ে,43
দুনিয়ায়,42
দ্বিতীয়বার,42
ফয়সালা,42
বিছিয়ে,42
গুহায়,42
মিসওয়াক,42
বায়‘আত,42
ক্রয়ের,42
আশায়,42
প্রিয়।,42
লুকিয়ে,41
কথায়,41
উমাইয়্যা,41
উমায়র,41
গিয়েছিলেন।,41
দেয়ালে,41
খায়বারের,41
দিয়েছিলাম,40
খেয়েছ,40
যিয়াদ,40
জমায়েত,40
আটকিয়ে,40
ক্বিয়ামত,40
পাঠিয়েছিলেন,40
জানাযায়,40
নিয়েছে।,40
ওয়াকী’,40
মিলিয়ে,40
বায়ু,39
হুনায়ন,39
হয়েছেন।,39
সায়িব,39
মানায়,39
সম্প্রদায়কে,39
সফিয়্যাহ,39
হৃদয়ে,38
ওয়াক্তে,38
পেয়েছিল,38
বয়সের,38
ইয়ামানের,38
হুওয়া,37
‘উয়াইনাহ,37
বিয়ের,37
মারওয়াহ,37
দণ্ডায়মান,37
হিরাক্লিয়াস,37
শায়বাহ্,37
ক্রয়-বিক্রয়ে,37
সাওয়ারীর,37
উরওয়াহ্‌,37
সুওয়াইদ,37
"পায়,",36
ওয়ালীমা,36
ঘুরিয়ে,36
রাওয়াহা,36
গিয়েছেন,36
সাইয়াদ,36
গোত্রীয়,36
যামানায়,35
হায়িয,35
গুটিয়ে,35
হুদাইবিয়ার,35
হুরায়রা্‌,35
মায়মূন,35
মু’আবিয়াহ্‌,35
হয়ো,35
দয়ালু,35
দিয়েই,35
বায়তুল্লাহ-এর,35
ওয়াসিয়্যাত,35
মিশিয়ে,34
উপায়,34
হয়েছিলেন।,34
বিক্রয়ের,34
অপছন্দনীয়,34
দায়িত্বে,34
মেয়ের,34
সহায়,34
মেয়াদ,34
করিয়েছে,34
মুযদালিফায়,34
‘উমায়র,33
ময়লা,33
চেয়েছে,33
তায়াম্মুম,33
ভয়ই,33
তাওয়াফে,33
‘ওয়ালা’,33
হয়ে),33
ছিটিয়ে,33
ওয়াসী,33
নিয়েছি।,33
ধাওয়া,33
তুফায়ল,33
সায়ী,33
মারওয়াহ্,32
চড়িয়ে,32
স্বয়ং,32
রয়েছেন।,32
তাড়িয়ে,32
অবস্থায়),32
উভয়ই,32
হায়!,32
ওয়াইল,31
দিয়ে),31
হুদাইবিয়াহ,31
লায়ল,31
খেয়া,31
সাওয়াবে,31
হুযায়ফা,31
হয়েছিলাম,31
"দেয়া,",31
বায়তুল্লাহ্,31
চাওয়ার,31
ওয়াহ্ব,31
দেয়া।,31
যায়নি,31
আত্মীয়-,31
সিরিয়ায়,31
চেয়েছিলে,30
‘উরওয়াহ্‌,30
আত্মীয়-স্বজন,30
